# Wordlist

# META
@date:2013-07-16
@doculect:Huitoto Muinane, hto
@source_title:Automatically created wordlist, by lingpy.

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
623	thiesen1998/219/11	PES	pádúcú	Bora	pʰ a tʰ u kʰ u
624	thiesen1998/165/5	PES	kimóhcoó	Bora	kʰ i m o ʔ kʰ o o
625	thiesen1998/165/5	PES	kimóhco	Bora	kʰ i m o ʔ kʰ o
#
626	leach1969/113/11	LAV	joxootu	Ocaina	ʔ o x o o t ɯ
627	thiesen1998/200/36	LAV	nijtyúcu	Bora	n i x tʰʝ u kʰ u
628	thiesen1998/200/36	LAV	nijtyu	Bora	n i x tʰʝ u
629	thiesen1998/200/37	LAV	nijtyúcu	Bora	n i x tʰʝ u kʰ u
630	thiesen1998/200/34	LAV	níjtyúme̱i	Bora	n i x tʰʝ u m e i
631	burtch1983/250/7	LAV	ullide	Huitoto Murui	u dʑ i d ɛ
632	minor1971/34/37	LAV	jocode	Huitoto Muinane	ʔ o k o d ɛ
633	thiesen1998/200/34	LAV	níjtyáme̱i	Bora	n i x tʰʝ a m e i
634	thiesen1998/312/8	LAV	wácháchahco	Bora	kʷ a kʰʔ a kʰʔ a ʔ kʰ o
635	thiesen1998/312/8	LAV	wácháchahjáco	Bora	kʷ a kʰʔ a kʰʔ a ʔ x a kʰ o
636	thiesen1998/200/37	LAV	nijtyu	Bora	n i x tʰʝ u
#
637	leach1969/67/44	CIEL	aam̈i	Ocaina	a a m̥ i
638	burtch1983/179/5	CIEL	mona	Huitoto Murui	m ɔ n a
639	thiesen1998/136/23	CIEL	íévehóówa	Bora	i e β e ʔ oo kʷ a
640	leach1969/67/45	CIEL	aam̈ijón	Ocaina	a a m̥ i ʔ on
641	leach1969/79/43	CIEL	bum̈onñ̈á	Ocaina	b ɯ m̥ õ nʲ̈ a
642	minor1971/46/18	CIEL	mona	Huitoto Muinane	m o n a
643	minor1971/7/27	CIEL	bico	Huitoto Muinane	b i k o
#
644	leach1969/115/40	SOPL	juuhxa	Ocaina	ʔ ɯ ɯ ʔ x a
645	thiesen1998/148/5	SOPL	í̵bajtso	Bora	i̵ pʰ a x tʰs o
646	thiesen1998/148/6	SOPL	í̵bátsuhjáco	Bora	i̵ pʰ a tʰs u ʔ x a kʰ o
647	thiesen1998/148/6	SOPL	í̵batsúhcu	Bora	i̵ pʰ a tʰs u ʔ kʰ u
648	thiesen1998/170/8	SOPL	llijchúcu	Bora	tʰʃ i x kʰʔ u kʰ u
649	burtch1983/91/15	SOPL	fitade	Huitoto Murui	ɸ i t a d ɛ
650	thiesen1998/148/4	SOPL	i̵bájtso	Bora	i̵ pʰ a x tʰs o
651	minor1971/70/42	SOPL	vatde	Huitoto Muinane	β a ɗ ɛ
652	thiesen1998/307/12	SOPL	vóihjyáco	Bora	β o i ʔ xʝ a kʰ o
653	thiesen1998/148/7	SOPL	í̵bátsuhcu	Bora	i̵ pʰ a tʰs u ʔ kʰ u
654	thiesen1998/170/7	SOPL	llijchúcu	Bora	tʰʃ i x kʰʔ u kʰ u
655	thiesen1998/307/12	SOPL	vóijcyu	Bora	β o i x kʰʝ u
656	minor1971/57/14	SOPL	puunotde	Huitoto Muinane	p u u n o ɗ ɛ
657	thiesen1998/170/7	SOPL	llijchu	Bora	tʰʃ i x kʰʔ u
658	burtch1983/34/21	SOPL	betade	Huitoto Murui	b ɛ t a d ɛ
659	thiesen1998/148/7	SOPL	í̵bátsuhjáco	Bora	i̵ pʰ a tʰs u ʔ x a kʰ o
660	leach1969/97/6	SOPL	foofo	Ocaina	ɸ o o ɸ o
661	thiesen1998/170/8	SOPL	llijchu	Bora	tʰʃ i x kʰʔ u
#
662	thiesen1998/34/23	LEVANT	ajkye	Bora	a x kʰʝ e
663	thiesen1998/332/27	LEVANT	wátyohí̵í̵ve	Bora	kʷ a tʰʝ o ʔ i̵i̵ β e
664	minor1971/59/21	LEVANT	raìñóde	Huitoto Muinane	ɾ a i nʲ o d ɛ
665	thiesen1998/136/34	LEVANT	ihbúcu	Bora	i ʔ pʰ u kʰ u
666	leach1969/69/45	LEVANT	aava	Ocaina	a a β a
667	thiesen1998/332/24	LEVANT	wátyoohí̵cu	Bora	kʷ a tʰʝ o: ʔ i̵ kʰ u
668	thiesen1998/339/8	LEVANT	wáyuhtsí̵cu	Bora	kʷ a ʝ u ʔ tʰs i̵ kʰ u
669	thiesen1998/140/19	LEVANT	íjyócuuve	Bora	i xʝ o kʰ u: β e
670	thiesen1998/35/27	LEVANT	ákyejtso	Bora	a kʰʝ e x tʰs o
671	minor1971/46/41	LEVANT	motíde	Huitoto Muinane	m o t i d ɛ
672	burtch1983/145/12	LEVANT	juìcoride	Huitoto Murui	h ui k ɔ ɾ i d ɛ
673	thiesen1998/136/35	LEVANT	ihbu	Bora	i ʔ pʰ u
674	thiesen1998/332/27	LEVANT	wáhtyohí̵ba	Bora	kʷ a ʔ tʰʝ o ʔ i̵ pʰ a
675	thiesen1998/140/19	LEVANT	íhjyócuba	Bora	i ʔ xʝ o kʰ u pʰ a
676	thiesen1998/339/8	LEVANT	wáyúhtsi̵nu	Bora	kʷ a ʝ u ʔ tʰs i̵ n u
677	thiesen1998/140/14	LEVANT	íjyócujco	Bora	i xʝ o kʰ u x kʰ o
678	thiesen1998/332/24	LEVANT	wátyóóhi̵nu	Bora	kʷ a tʰʝ oo ʔ i̵ n u
679	thiesen1998/136/35	LEVANT	ihbúcu	Bora	i ʔ pʰ u kʰ u
680	thiesen1998/140/14	LEVANT	íjyócujcáro	Bora	i xʝ o kʰ u x kʰ a r o
681	thiesen1998/325/11	LEVANT	wáámene	Bora	kʷ a: m e n e
682	thiesen1998/136/34	LEVANT	ihbu	Bora	i ʔ pʰ u
683	burtch1983/145/11	LEVANT	juìconote	Huitoto Murui	h ui k ɔ n ɔ t ɛ
684	burtch1983/210/4	LEVANT	raìconote	Huitoto Murui	ɾ ai k ɔ n ɔ t ɛ
#
685	thiesen1998/155/6	BUEN	í̵mi̵̱áá-	Bora	i̵ m i̵ a:
686	thiesen1998/316/1	BUEN	wahde	Bora	kʷ a ʔ tʰ e
687	burtch1983/173/9	BUEN	mare	Huitoto Murui	m a ɾ ɛ
688	burtch1983/129/2	BUEN	jee	Huitoto Murui	h ɛ ɛ
689	thiesen1998/155/5	BUEN	í̵mi̵̱á	Bora	i̵ m i̵ a
690	thiesen1998/142/31	BUEN	imíwu	Bora	i m i kʷ u
691	thiesen1998/142/31	BUEN	ímíh	Bora	i m i ʔ
692	leach1969/96/21	BUEN	fónjun	Ocaina	ɸ on ʔ ɯn
693	burtch1983/173/14	BUEN	maremi̵e	Huitoto Murui	m a ɾ ɛ m ɯ ɛ
694	thiesen1998/142/31	BUEN	ímí	Bora	i m i
695	burtch1983/173/16	BUEN	mareñaìño	Huitoto Murui	m a ɾ ɛ nʲ ai nʲ ɔ
696	thiesen1998/276/32	BUEN	tsaí̵í̵buwáre	Bora	tʰs a i̵i̵ pʰ u kʷ a r e
697	minor1971/53/2	BUEN	ñuera	Huitoto Muinane	nʲ u ɛ ɾ a
698	thiesen1998/276/32	BUEN	tsaí̵í̵buwa	Bora	tʰs a i̵i̵ pʰ u kʷ a
#
699	burtch1983/220/13	PAL	saferedi̵na	Huitoto Murui	s a ɸ ɛ ɾ ɛ d ɯ n a
700	burtch1983/209/14	PAL	rada	Huitoto Murui	ɾ a d a
701	thiesen1998/225/36	PAL	pááraji̵	Bora	pʰ a: r a x i̵
702	minor1971/14/22	PAL	chovéco	Huitoto Muinane	kʔ o β ɛ k o
703	burtch1983/209/14	PAL	radosi	Huitoto Murui	ɾ a d ɔ s i
704	thiesen1998/289/10	PAL	tsúúho	Bora	tʰs u: ʔ o
705	thiesen1998/289/10	PAL	tsúúhoó	Bora	tʰs u: ʔ o o
706	burtch1983/25/6	PAL	amena	Huitoto Murui	a m ɛ n a
707	leach1969/85/17	PAL	dyaa	Ocaina	dʑ a a
708	burtch1983/211/6	PAL	raìti̵faì̵raco	Huitoto Murui	ɾ ai t ɯ ɸ aɯ̀ ɾ a k ɔ
709	minor1971/18/3	PAL	duíraì̵	Huitoto Muinane	d u i ɾ a ɯ̀
710	thiesen1998/289/10	PAL	tsúúhone	Bora	tʰs u: ʔ o n e
711	thiesen1998/70/24	PAL	cállorí̵hcuji̵	Bora	kʰ a tʰʃ o r i̵ ʔ kʰ u x i̵
712	minor1971/7/43	PAL	biúgaì̵	Huitoto Muinane	b i u g a ɯ̀
713	minor1971/8/38	PAL	bi̵gi̵	Huitoto Muinane	b ɯ g ɯ
#
714	thiesen1998/294/15	GORD	újcává	Bora	u x kʰ a β a
715	leach1969/92/42	GORD	fáájin	Ocaina	ɸ a a ʔ ĩ
716	burtch1983/23/18	GORD	aìllomi̵e	Huitoto Murui	ai dʑ ɔ m ɯ ɛ
717	thiesen1998/125/2	GORD	dúrúvá	Bora	tʰ u r u β a
718	thiesen1998/125/2	GORD	dúrúváh	Bora	tʰ u r u β a ʔ
719	thiesen1998/294/15	GORD	újcáváh	Bora	u x kʰ a β a ʔ
#
720	thiesen1998/72/5	LARG	cámé	Bora	kʰ a m e
721	thiesen1998/72/5	LARG	caaméwu	Bora	kʰ a: m e kʷ u
722	thiesen1998/299/1	LARG	úmi̵va	Bora	u m i̵ β a
723	leach1969/69/16	LARG	ááñi	Ocaina	a a nʲ i
724	leach1969/136/6	LARG	iii intr	Ocaina	i i i # ĩ t r
725	minor1971/5/33	LARG	are	Huitoto Muinane	a ɾ ɛ
726	burtch1983/27/15	LARG	are	Huitoto Murui	a ɾ ɛ
727	thiesen1998/72/5	LARG	cáméh	Bora	kʰ a m e ʔ
#
728	thiesen1998/151/17	PLUM	í̵hjí̵ji̵	Bora	i̵ ʔ x i̵ x i̵
729	burtch1983/203/11	PLUM	ofoma ibe	Huitoto Murui	ɔ ɸ ɔ m a # i b ɛ
730	thiesen1998/151/17	PLUM	í̵hjí̵ne	Bora	i̵ ʔ x i̵ n e
731	burtch1983/104/14	PLUM	ibe	Huitoto Murui	i b ɛ
732	leach1969/148/5	PLUM	tyafóóro	Ocaina	tʑ a ɸ o o r o
733	burtch1983/104/15	PLUM	ibeni̵aì̵	Huitoto Murui	i b ɛ n ɯ aɯ̀
734	burtch1983/203/11	PLUM	ofoma ibero	Huitoto Murui	ɔ ɸ ɔ m a # i b ɛ ɾ ɔ
735	thiesen1998/151/17	PLUM	í̵hjí̵neé	Bora	i̵ ʔ x i̵ n e e
736	burtch1983/203/11	PLUM	ofoma iforo	Huitoto Murui	ɔ ɸ ɔ m a # i ɸ ɔ ɾ ɔ
737	thiesen1998/151/17	PLUM	í̵hjí̵ji̵í̵	Bora	i̵ ʔ x i̵ x i̵ i̵
#
738	leach1969/152/26	IZQUIERD	uroohfatí	Ocaina	ɯ r o o ʔ ɸ a t i
739	burtch1983/124/18	IZQUIERD	jari̵febeji	Huitoto Murui	h a ɾ ɯ ɸ ɛ b ɛ h i
#
740	leach1969/135/6	CAER	ooha	Ocaina	o o ʔ a
741	burtch1983/242/5	CAER	uaìde	Huitoto Murui	u ai d ɛ
742	minor1971/7/5	CAER	baí̵ìde	Huitoto Muinane	b a ɯ́ i d ɛ
743	thiesen1998/76/17	CAER	cáhpíyuba	Bora	kʰ a ʔ pʰ i ʝ u pʰ a
744	thiesen1998/76/17	CAER	cápíyuuve	Bora	kʰ a pʰ i ʝ u: β e
745	minor1971/10/31	CAER	cocí̵de	Huitoto Muinane	k o k ɯ́ d ɛ
746	burtch1983/43/1	CAER	caìde	Huitoto Murui	k ai d ɛ
747	thiesen1998/112/29	CAER	dócóri̵i̵ve	Bora	tʰ o kʰ o r i̵: β e
748	thiesen1998/35/31	CAER	ááki̱tye	Bora	a: kʰ i tʰʝ e
749	minor1971/8/40	CAER	bi̵íde	Huitoto Muinane	b ɯ i d ɛ
#
750	burtch1983/235/18	SANGR	toide	Huitoto Murui	t ɔ i d ɛ
751	burtch1983/70/7	SANGR	di̵e	Huitoto Murui	d ɯ ɛ
752	minor1971/49/2	SANGR	naì̵bi	Huitoto Muinane	n a ɯ̀ b i
753	thiesen1998/273/26	SANGR	tuuva	Bora	tʰ u: β a
754	burtch1983/69/14	SANGR	di̵aìde	Huitoto Murui	d ɯ ai d ɛ
755	leach1969/145/25	SANGR	tsijíínjin	Ocaina	ts i ʔ i ĩ ʔ ĩ
756	leach1969/145/25	SANGR	tsijíín	Ocaina	ts i ʔ i ĩ
757	burtch1983/72/12	SANGR	di̵rue	Huitoto Murui	d ɯ ɾ u ɛ
758	thiesen1998/274/10	SANGR	túúvatso	Bora	tʰ u: β a tʰs o
759	leach1969/144/49	SANGR	tsiijin	Ocaina	ts i i ʔ ĩ
760	thiesen1998/270/26	SANGR	tújpacyo	Bora	tʰ u x pʰ a kʰʝ o
761	minor1971/18/18	SANGR	di̵e	Huitoto Muinane	d ɯ ɛ
#
762	thiesen1998/138/17	DIENT	íhwáne	Bora	i ʔ kʷ a n e
763	thiesen1998/138/17	DIENT	íhwáñeé	Bora	i ʔ kʷ a nʲ e e
764	burtch1983/114/14	DIENT	isido	Huitoto Murui	i s i d ɔ
765	minor1971/25/19	DIENT	itido	Huitoto Muinane	i t i d o
766	burtch1983/107/16	DIENT	idoni̵aì̵	Huitoto Murui	i d ɔ n ɯ aɯ̀
767	thiesen1998/138/17	DIENT	íhwají̵í̵cu	Bora	i ʔ kʷ a x i̵i̵ kʰ u
768	burtch1983/114/15	DIENT	isie	Huitoto Murui	i s i ɛ
769	thiesen1998/138/17	DIENT	íhwaji̵	Bora	i ʔ kʷ a x i̵
770	leach1969/71/13	DIENT	ahtiihtyo	Ocaina	a ʔ t i i ʔ tʑ o
#
771	burtch1983/147/22	SEMILL	ji̵	Huitoto Murui	h ɯ
772	leach1969/125/15	SEMILL	naviiñ̈i	Ocaina	n a β i i nʲ̈ i
773	minor1971/23/9	SEMILL	ido	Huitoto Muinane	i d o
774	burtch1983/107/15	SEMILL	ido	Huitoto Murui	i d ɔ
775	burtch1983/64/13	SEMILL	do	Huitoto Murui	d ɔ
#
776	thiesen1998/299/27	ESCUP	úníchihcyu	Bora	u n i kʰʔ i ʔ kʰʝ u
777	minor1971/67/10	ESCUP	tduánode	Huitoto Muinane	ɗ u a n o d ɛ
778	leach1969/156/25	ESCUP	xaca cááu	Ocaina	x a k a # k a a ɯ
779	leach1969/80/42	ESCUP	caau	Ocaina	k a a ɯ
780	thiesen1998/299/27	ESCUP	únítyojco	Bora	u n i tʰʝ o x kʰ o
781	thiesen1998/299/27	ESCUP	uni	Bora	u n i
782	burtch1983/236/18	ESCUP	tuade	Huitoto Murui	t u a d ɛ
783	leach1969/144/15	ESCUP	játsaafu	Ocaina	ʔ a ts a a ɸ ɯ
#
784	thiesen1998/309/1	CUERD	wábyaúúcu	Bora	kʷ a pʰʝ a u: kʰ u
785	thiesen1998/309/1	CUERD	wábyaúúne	Bora	kʷ a pʰʝ a u: n e
786	minor1971/23/13	CUERD	igaì̵	Huitoto Muinane	i g a ɯ̀
787	thiesen1998/309/1	CUERD	wáábyau	Bora	kʷ a: pʰʝ a u
788	thiesen1998/219/4	CUERD	pádohji̵	Bora	pʰ a tʰ o ʔ x i̵
#
789	burtch1983/82/3	CONT	facadote	Huitoto Murui	ɸ a k a d ɔ t ɛ
790	leach1969/93/45	CONT	fahxaajo	Ocaina	ɸ a ʔ x a a ʔ o
791	thiesen1998/131/19	CONT	eeve	Bora	e: β e
792	burtch1983/167/2	CONT	llote	Huitoto Murui	dʑ ɔ t ɛ
793	leach1969/79/30	CONT	bucoohfílli	Ocaina	b ɯ k o o ʔ ɸ i dʑ i
794	thiesen1998/291/10	CONT	úúballe	Bora	u: pʰ a tʰʃ e
795	minor1971/54/43	CONT	pacádotde	Huitoto Muinane	p a k a d o ɗ ɛ
#
796	burtch1983/59/16	CINC	dabecuìro	Huitoto Murui	d a b ɛ k ui ɾ ɔ
797	leach1969/148/11	CINC	tyahfúúforoh	Ocaina	tʑ a ʔ ɸ ɯ́ ɯ́ ɸ o r o ʔ
#
798	burtch1983/218/18	LIS	ri̵ji̵re	Huitoto Murui	ɾ ɯ h ɯ ɾ ɛ
799	thiesen1998/240/34	LIS	pí̵rúcú	Bora	pʰ i̵ r u kʰ u
800	minor1971/63/14	LIS	ri̵i̵re	Huitoto Muinane	ɾ ɯ ɯ ɾ ɛ
801	leach1969/95/3	LIS	fííyi	Ocaina	ɸ i i ʑ i
802	minor1971/63/13	LIS	ri̵i̵gaìrode	Huitoto Muinane	ɾ ɯ ɯ g a i ɾ o d ɛ
803	thiesen1998/240/34	LIS	pí̵rúcúh	Bora	pʰ i̵ r u kʰ u ʔ
#
804	thiesen1998/147/36	CUERN	iyáábej to	Bora	i ʝ a: pʰ e x # tʰ o
805	burtch1983/225/2	CUERN	sicaì̵	Huitoto Murui	s i k aɯ̀
806	burtch1983/225/7	CUERN	sigaì̵ni̵aì̵	Huitoto Murui	s i g aɯ̀ n ɯ aɯ̀
#
807	thiesen1998/268/12	PIE	jtúha	Bora	x tʰ u ʔ a
808	minor1971/72/11	PIE	i̵daì̵	Huitoto Muinane	ɯ d a ɯ̀
809	thiesen1998/268/12	PIE	túhaá	Bora	tʰ u ʔ a a
810	burtch1983/81/14	PIE	ei̵lli̵	Huitoto Murui	ɛ ɯ dʑ ɯ
811	leach1969/151/19	PIE	uhyóó	Ocaina	ɯ ʔ ʑ o o
#
812	minor1971/33/29	CENIZ	jitue	Huitoto Muinane	ʔ i t u ɛ
813	thiesen1998/52/5	CENIZ	bálliíjyu	Bora	pʰ a tʰʃ i i xʝ u
814	burtch1983/147/9	CENIZ	jusefo	Huitoto Murui	h u s ɛ ɸ ɔ
815	leach1969/132/32	CENIZ	ohtiihi	Ocaina	o ʔ t i i ʔ i
#
816	minor1971/8/39	ECHARS	bi̵ide	Huitoto Muinane	b ɯ i d ɛ
817	burtch1983/95/13	ECHARS	fi̵ide	Huitoto Murui	ɸ ɯ i d ɛ
818	thiesen1998/82/29	ECHARS	cáhtsíñiba	Bora	kʰ a ʔ tʰs i nʲ i pʰ a
819	thiesen1998/265/20	ECHARS	tódsi̵i̵ve	Bora	tʰ o tʰs i̵: β e
820	thiesen1998/82/29	ECHARS	cátsíñiivye	Bora	kʰ a tʰs i nʲ i: βʝ e
821	thiesen1998/265/20	ECHARS	tóhdsi̵ba	Bora	tʰ o ʔ tʰs i̵ pʰ a
#
822	leach1969/84/38	FLU	tyádsooro	Ocaina	tʑ a dz o o r o
823	burtch1983/236/8	FLU	tote	Huitoto Murui	t ɔ t ɛ
824	thiesen1998/202/12	FLU	niiva	Bora	n i: β a
#
825	burtch1983/82/4	CUANDO	facaìse	Huitoto Murui	ɸ a k ai s ɛ
826	burtch1983/19/3	CUANDO	nia	Huitoto Murui	n i a
827	leach1969/104/55	CUANDO	jadya	Ocaina	ʔ a dʑ a
828	burtch1983/82/4	CUANDO	facaìseconi	Huitoto Murui	ɸ a k ai s ɛ k ɔ n i
829	leach1969/114/11	CUANDO	juhxon	Ocaina	ʔ ɯ ʔ x õ
830	burtch1983/19/3	CUANDO	jia	Huitoto Murui	h i a
831	burtch1983/19/3	CUANDO	ia	Huitoto Murui	i a
832	burtch1983/73/18	CUANDO	ecɨ	Huitoto Murui	ɛ k ɯ
833	burtch1983/73/18	CUANDO	ecɨmo	Huitoto Murui	ɛ k ɯ m ɔ
834	burtch1983/178/4	CUANDO	mo	Huitoto Murui	m ɔ
835	burtch1983/19/3	CUANDO	a	Huitoto Murui	a
836	burtch1983/82/4	CUANDO	facaì	Huitoto Murui	ɸ a k ai
#
837	leach1969/144/41	ROJ	tsíího	Ocaina	ts i i ʔ o
838	thiesen1998/270/31	ROJ	tújpañe	Bora	tʰ u x pʰ a nʲ e
839	thiesen1998/270/25	ROJ	tújpá	Bora	tʰ u x pʰ a
840	thiesen1998/270/25	ROJ	tújpáh	Bora	tʰ u x pʰ a ʔ
#
841	leach1969/68/14	DEC	uun	Ocaina	ɯ ɯn
842	leach1969/153/48	DEC	uun	Ocaina	ɯ ɯn
843	thiesen1998/149/22	DEC	í̵dáátso̱nu	Bora	i̵ tʰ a: tʰs o n u
844	thiesen1998/152/14	DEC	í̵htsu̱nu	Bora	i̵ ʔ tʰs u n u
845	leach1969/68/14	DEC	aan	Ocaina	a ã
846	minor1971/15/40	DEC	daì̵de	Huitoto Muinane	d a ɯ̀ d ɛ
847	burtch1983/210/12	DEC	raìte	Huitoto Murui	ɾ ai t ɛ
848	minor1971/30/3	DEC	jeellonaìde	Huitoto Muinane	ʔ ɛ ɛ dʑ o n a i d ɛ
849	burtch1983/167/2	DEC	llote	Huitoto Murui	dʑ ɔ t ɛ
850	thiesen1998/107/5	DEC	dillo	Bora	tʰ i tʰʃ o
851	thiesen1998/190/14	DEC	mujtá	Bora	m u x tʰ a
852	thiesen1998/196/12	DEC	nee	Bora	n e:
853	thiesen1998/123/30	DEC	duhcúva̱te	Bora	tʰ u ʔ kʰ u β a tʰ e
854	burtch1983/65/3	DEC	dode dmɨ	Huitoto Murui	d ɔ d ɛ # d m ɯ
855	leach1969/153/48	DEC	aan	Ocaina	a ã
856	minor1971/8/40	DEC	bi̵íde	Huitoto Muinane	b ɯ i d ɛ
#
857	thiesen1998/296/36	CAMIN	ulle	Bora	u tʰʃ e
858	thiesen1998/160/17	CAMIN	juváñe	Bora	x u β a nʲ e
859	leach1969/118/40	CAMIN	maaxa	Ocaina	m a a x a
860	burtch1983/189/8	CAMIN	nai̵	Huitoto Murui	n a ɯ
861	thiesen1998/297/6	CAMIN	ulléjí̵jto	Bora	u tʰʃ e x i̵ x tʰ o
862	leach1969/124/10	CAMIN	jo	Ocaina	ʔ o
863	minor1971/24/20	CAMIN	io	Huitoto Muinane	i o
864	minor1971/27/17	CAMIN	jaílledi̵	Huitoto Muinane	ʔ a i dʑ ɛ d ɯ
865	burtch1983/190/12	CAMIN	nai̵so	Huitoto Murui	n a ɯ s ɔ
866	thiesen1998/160/17	CAMIN	juúva	Bora	x u u β a
867	burtch1983/189/8	CAMIN	nai̵so	Huitoto Murui	n a ɯ s ɔ
868	burtch1983/190/12	CAMIN	nai̵	Huitoto Murui	n a ɯ
869	leach1969/124/10	CAMIN	hto	Ocaina	ʔ t o
870	leach1969/124/8	CAMIN	naajon	Ocaina	n a a ʔ õ
#
871	leach1969/125/3	CUATR	najunhxan̈ó	Ocaina	n a ʔ ɯn ʔ x a n̥ o
872	burtch1983/184/16	CUATR	nagaamaga	Huitoto Murui	n a g a a m a g a
873	minor1971/57/35	CUATR	pi̵goménarie	Huitoto Muinane	p ɯ g o m ɛ n a ɾ i ɛ
#
874	leach1969/130/6	CANT	ñoomun	Ocaina	nʲ o o m ɯn
875	burtch1983/92/2	CANT	fue	Huitoto Murui	ɸ u ɛ
876	burtch1983/215/17	CANT	rote	Huitoto Murui	ɾ ɔ t ɛ
877	thiesen1998/176/10	CANT	majtsi	Bora	m a x tʰs i
878	burtch1983/125/7	CANT	jasici̵ beici̵	Huitoto Murui	h a s i k ɯ # b ɛ i k ɯ
879	burtch1983/65/7	CANT	dofoni̵aì̵	Huitoto Murui	d ɔ ɸ ɔ n ɯ aɯ̀
880	leach1969/130/7	CANT	jáñoomun	Ocaina	ʔ a nʲ o o m ɯn
881	burtch1983/34/8	CANT	abi̵ beici̵	Huitoto Murui	a b ɯ # b ɛ i k ɯ
882	burtch1983/42/9	CANT	cacagi̵	Huitoto Murui	k a k a g ɯ
883	thiesen1998/300/9	CANT	úniu	Bora	u n i u
884	burtch1983/50/12	CANT	cote	Huitoto Murui	k ɔ t ɛ
885	thiesen1998/300/9	CANT	úniúúcu	Bora	u n i u: kʰ u
886	thiesen1998/300/9	CANT	úniúúne	Bora	u n i u: n e
887	burtch1983/92/13	CANT	fueda	Huitoto Murui	ɸ u ɛ d a
888	burtch1983/125/7	CANT	jasici̵ fue	Huitoto Murui	h a s i k ɯ # ɸ u ɛ
889	minor1971/61/37	CANT	rotde	Huitoto Muinane	ɾ o ɗ ɛ
#
890	minor1971/15/24	A	danomo	Huitoto Muinane	d a n o m o
891	minor1971/18/29	A	di̵néna	Huitoto Muinane	d ɯ n ɛ n a
892	leach1969/154/10	A	uunnah	Ocaina	ɯ ɯn n a ʔ
893	burtch1983/49/7	A	coni	Huitoto Murui	k ɔ n i
#
894	leach1969/137/38	GRAND	oxííja	Ocaina	o x i i ʔ a
895	burtch1983/23/20	GRAND	aìllue	Huitoto Murui	ai dʑ u ɛ
896	minor1971/30/6	GRAND	jeerie	Huitoto Muinane	ʔ ɛ ɛ ɾ i ɛ
897	thiesen1998/184/11	GRAND	mítyá	Bora	m i tʰʝ a
898	burtch1983/130/13	GRAND	jerie	Huitoto Murui	h ɛ ɾ i ɛ
899	burtch1983/44/18	GRAND	canarema	Huitoto Murui	k a n a ɾ ɛ m a
900	minor1971/4/24	GRAND	aìllue	Huitoto Muinane	a i dʑ u ɛ
901	leach1969/136/53	GRAND	óóxu	Ocaina	o o x ɯ
902	thiesen1998/171/20	GRAND	llíyá	Bora	tʰʃ i ʝ a
903	thiesen1998/171/20	GRAND	llíyáh	Bora	tʰʃ i ʝ a ʔ
904	burtch1983/128/13	GRAND	jecorie	Huitoto Murui	h ɛ k ɔ ɾ i ɛ
905	thiesen1998/184/11	GRAND	mítyáh	Bora	m i tʰʝ a ʔ
#
906	burtch1983/147/22	FRUT	ji̵	Huitoto Murui	h ɯ
907	leach1969/86/6	FRUT	dyanjunm̈ájañi	Ocaina	dʑ ã ʔ ɯn m̥ a ʔ a nʲ i
908	minor1971/60/43	FRUT	ria	Huitoto Muinane	ɾ i a
909	leach1969/155/29	FRUT	xaana	Ocaina	x a ã a
910	burtch1983/64/13	FRUT	do	Huitoto Murui	d ɔ
911	minor1971/13/10	FRUT	ci̵néci̵	Huitoto Muinane	k ɯ n ɛ k ɯ
912	leach1969/155/29	FRUT	am̈uunñ̈a xanaa	Ocaina	a m̥ ɯ ɯn nʲ̈ a # x ã a a
913	minor1971/5/17	FRUT	añálli̵	Huitoto Muinane	a nʲ a dʑ ɯ
914	thiesen1998/199/9	FRUT	neeváu	Bora	n e: β a u
915	thiesen1998/199/6	FRUT	neéva	Bora	n e e β a
916	leach1969/116/33	FRUT	juxaan	Ocaina	ʔ ɯ x a ã
917	burtch1983/214/6	FRUT	riara	Huitoto Murui	ɾ i a ɾ a
918	leach1969/116/33	FRUT	juxaanjun	Ocaina	ʔ ɯ x a ã ʔ ɯn
919	minor1971/62/15	FRUT	ri̵éri̵ega	Huitoto Muinane	ɾ ɯ ɛ ɾ ɯ ɛ g a
#
920	thiesen1998/39/19	USTED	ámuúha	Bora	a m u u ʔ a
921	thiesen1998/290/28	USTED	u	Bora	u
922	thiesen1998/290/28	USTED	uú	Bora	u u
923	thiesen1998/39/19	USTED	ámuha	Bora	a m u ʔ a
#
924	leach1969/78/24	AMARILL	bóóra	Ocaina	b o o r a
925	thiesen1998/170/2	AMARILL	llijcya	Bora	tʰʃ i x kʰʝ a
926	thiesen1998/170/4	AMARILL	llíjcyá	Bora	tʰʃ i x kʰʝ a
927	thiesen1998/170/4	AMARILL	llíjcyáh	Bora	tʰʃ i x kʰʝ a ʔ
928	burtch1983/37/17	AMARILL	borare	Huitoto Murui	b ɔ ɾ a ɾ ɛ
#
929	leach1969/130/50	BEB	ñoxóóhxaju	Ocaina	nʲ o x o o ʔ x a ʔ ɯ
930	minor1971/33/12	BEB	jiróde	Huitoto Muinane	ʔ i ɾ o d ɛ
931	thiesen1998/29/16	BEB	adójpácyo	Bora	a tʰ o x pʰ a kʰʝ o
932	thiesen1998/29/10	BEB	ado	Bora	a tʰ o
933	leach1969/130/48	BEB	ñooxo	Ocaina	nʲ o o x o
