OMEGAWIKI	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD
1510840	-	DIGGING STICK	Agriculture and vegetation	A rod shaped implement used by the aboriginal people of Australia to dig yam and as a combat weapon.	Noun	8.28
7654	-	DINNER, SUPPER	Food and drink	A meal that is eaten in the late afternoon or evening daily.	Noun	5.44;5.45
1057993	-	DIRT	Sense perception	Any unclean substance, such as mud, dust, dung etc.	Noun	-
5483	-	DIRTY	Sense perception	Covered with or containing unpleasant substances such as dirt or grime.	Adjective	15.88
155161	-	DISAPPEAR	Motion	To cease to appear, to not be visible anymore.	Verb	10.491
941	-	DISEASE	The body	A definite pathological process having a characteristic set of signs and symptoms which are detrimental to the well-being of the individual.	Noun	4.844
154785	-	DISH	Food and drink	A vessel such as a plate for holding or serving food, often flat with a depressed region in the middle.	Noun	5.31
960	-	DITCH	Agriculture and vegetation	A long, narrow excavation artificially dug in the ground; especially an open and usually unpaved waterway, channel, or trench for conveying water for drainage or irrigation, and usually smaller than a canal. Some ditches may be natural watercourses.	Noun	8.17
1235455	-	DIVE	Motion	To swim under water.	Verb	10.351
486237	-	DIVIDE	Spatial relations	To split or separate something into two or more parts.	Verb	12.232
499844	-	DIVORCE	Kinship	Legal dissolution of a marriage.	Noun	2.341
351006	-	DO	Basic actions and technology	To act, to behave.	Verb	9.11
161474	-	DOCTOR	Modern world	A person who has completed a study of medicine, and as such tries to diagnose and cure diseases in patients.	Noun	-
966	-	DOG	Animals	A common four-legged animal, especially kept by people as a pet or to hunt or guard things.	Noun	3.61
616807	-	DOLPHIN	Animals	A carnivorous aquatic mammal inhabiting mostly in the shallower seas of the continental shelves.	Noun	3.662
8030	-	DONKEY	Animals	A domesticated animal, Equus asinus.	Noun	3.46
6430	1070009	DOOR	The house	An opening, or passage in a fence or wall; the entrance through which you enter or leave a room or building.	Noun	7.22
1153341	-	DOORPOST	The house	The frame that supports a door.	Noun	7.221
5716	6812	DOUBT	Cognition	Challenge about the truth or accuracy of a matter.	Noun	17.43
1505807	-	DOUGH	Food and drink	A mixture of flour and water ready to be baked into bread, pastry etc.	Noun	5.53
7890	-	DOVE	Animals	One of several birds of the family Columbidae.	Noun	3.594
5797	-	DOWN	Spatial relations	From an higher position to a lower one.	Function word	12.03
1166811	-	DRAW MILK	Food and drink	To draw milk from (a mammal, especially a cow).	Verb	5.87
840722	339936	DRAW WATER	Basic actions and technology	To draw by a physical force causing or tending to cause to approach, adhere, or unite	Verb	9.9
8448	-	DREAM	The body	To experience while sleeping.	Verb	4.62
154560	-	DRESS	Clothing and grooming	A one-piece garment for a woman that has a skirt and a body section.	Noun	6.42
351289	-	DRESS UP	Clothing and grooming	To clothe oneself; to put on clothes.	Verb	-
1505759	-	DRIBBLE	The body	To let saliva flow out of one’s mouth onto one’s chin.	Verb	4.591
5991	-	DRINK ACTION	Food and drink	To consume a liquid through the mouth.	Verb	5.13
339	-	DRINK OBJECT	Food and drink	Any one of various liquids for drinking.	Noun	5.9
348656	1510993	DRIP	Motion	to fall in globules or small portions, as water or other liquid.	Verb	-
340699	-	DRIVE	Motion	To operate a (motorized) vehicle (with wheels).	Verb	10.65
161564	-	DRIVER'S LICENSE	Modern world	Official document granting someone the authorisation to drive some vehicles.	Noun	23.34
341382	-	DROP	Motion	The event of moving to a lower position due to the effect of gravity.	Verb	10.16
838127	-	DROWN	The body	To be suffocated in water or other fluid; to perish by suffocation in water.	Verb	4.751
386380	-	DRUM	Speech and language	A percussion instrument consisting of at least one membrane that is stretched over a shell and struck directly with the player's hands or with a drumstick.	Noun	18.72
1200507	-	DRUMMING	Motion	To produce sound with a drum.	Verb	-
6098	-	DRUNK	The body	Being in a temporary state in which one's physical and mental faculties are impaired due to excessive consumption of alcohol.	Adjective	4.98
5989	-	DRY	Sense perception	(Almost) free from liquid or moisture.	Adjective	15.84
1542663	-	DRY SEASON	Time	Yearly period of low rainfall in the tropics.	Noun	-
7277	-	DRY UP	Basic actions and technology	To lose moisture, usually through evaporation or absorption.	Verb	-
5886	-	DUCK	Animals	An aquatic bird of the family Anatidae, having a flat bill and webbed feet.	Noun	3.57
808314	-	DUIKER	Animals	Any of several ruminants of the family Bovidae, chiefly of Africa and Asia, having permanent, hollow, unbranched horns.	Noun	-
1009	-	DUST	The physical world	Any kind of solid material divided in particles of very small size.	Noun	1.213
1335255	-	DYE	Clothing and grooming	To modify the color of something by applying dye.	Verb	6.39
838154	-	EAGLE	Animals	Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.	Noun	3.584
5510	-	EAR	The body	The organ of hearing, consisting of the pinna, auditory canal, eardrum, malleus, incus, stapes and cochlea.	Noun	4.22
1048124	-	EARLOBE	The body	The lower fleshy part of the human ear.	Noun	4.221
331892	695342	EARLY	Time	Before the expected time.	Function word	14.16
339161	-	EARN	Possession	To gain (success) through applied effort or work.	Verb	11.79
344234	1033487	EARRING	Clothing and grooming	A piece of jewelry worn on the ear.	Noun	6.77
1019	-	EARTHQUAKE	The physical world	The violent shaking of the ground produced by deep seismic waves, originating from the epicentre.	Noun	1.45
1071961	-	EARWAX	The body	A yellowish, waxlike secretion from certain glands in the external auditory canal.	Noun	4.222
8131	-	EAST	Spatial relations	One of the four principal compass points, specifically 90°, conventionally directed to the right on maps. The direction of the rising sun.	Noun	12.45
333916	-	EASY	Cognition	Requiring little skill or effort; posing no difficulty.	Adjective	17.46
5827	6596	EAT	Food and drink	To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.	Verb	5.11
366432	-	EDGE	Spatial relations	The boundary of a surface.	Noun	12.353
340828	-	EGG	Food and drink	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.	Noun	5.97
7005	-	EIGHT	Quantity	The cardinal number occurring after seven and before nine, represented in Roman numerals as VIII, in Arabic numerals as 8.	Function word	13.08
7014	-	EIGHTEEN	Quantity	The cardinal number occurring after seventeen and before nineteen, represented in Roman numerals as XVIII and in Arabic numerals as 18.	Function word	-
7022	-	EIGHTY	Quantity	The cardinal number occurring after seventy-nine and before eighty-one, represented in Roman numerals as LXXX and in Arabic numerals as 80.	Function word	-
422180	-	ELBOW	The body	The joint between arm and forearm.	Noun	4.32
1488304	-	ELECTION	Modern world	A process by which members of a population vote to choose a person to hold public office.	Noun	23.38
1109	-	ELECTRICITY	Modern world	A general term used for all phenomena caused by electric charge whether static or in motion.	Noun	23.17
5643	-	ELEPHANT	Animals	A mammal of the order Proboscidea, having a trunk, and two large ivory tusks jutting from the upper jaw. Elephants are the largest land animals now existing.	Noun	3.77
7006	-	ELEVEN	Quantity	The cardinal number occurring after ten and before twelve, represented in Roman numerals as XI, in Arabic numerals as 11.	Function word	13.101
444093	-	ELF	Religion and belief	A mythical creature of Germanic mythology. In Norse mythology they were originally minor gods of nature and fertility. They are often pictured as youthful-seeming men and women of great beauty living in forests and other natural places, underground, or in wells and springs. They have been portrayed to be long-lived or immortal and they have magical powers attributed to them.	Noun	22.44
718134	-	ELK	Animals	The largest member of the deer family (Alces alces), of which the male has very large, palmate antlers.	Noun	3.872
1124797	-	EMBERS	The physical world	A small, glowing piece of coal or wood, as in a dying fire.	Noun	1.841
395892	-	EMBRACE	Emotions and values	To squeeze someone in one's arms.	Verb	16.3
465364	-	EMERGE, APPEAR	Basic actions and technology	To become known or apparent.	Verb	-
6659	-	EMPTY	Quantity	Without content.	Adjective	13.22
340747	-	END OF SPACE	Spatial relations	Extreme part.	Noun	12.35
340750	-	END OF TIME	Time	The last or final part.	Noun	14.26
5882	5892	ENEMY	Social and political relations	Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else.	Noun	19.52
8158	-	ENOUGH	Quantity	All that is required, needed, or appropriate.	Function word	13.18
341348	-	ENTER	Motion	To go into.	Verb	10.57
1086952	-	ENVY	Emotions and values	A feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc.	Noun	16.44
6671	-	EVENING	Time	That part of the day in which daylight decreases and the night falls.	Noun	14.46
1098473	-	EVIL	Emotions and values	Intending to harm.	Adjective	-
5856	-	EWE	Animals	A female sheep.	Noun	3.28
6036	-	EXPENSIVE	Possession	Having a high price, cost.	Adjective	11.88
6661	-	EXPLAIN	Cognition	To inform about the reason for something, how something works, or how to do something.	Verb	17.38
1255943	-	EXTINGUISH	The physical world	To make something stop burning.	Verb	1.861
5511	-	EYE	The body	The organ that is sensitive to light, which it converts to electrical signals passed to the brain, by which means animals see.	Noun	4.21
523726	-	EYEBROW	The body	The hair that grows over the bone ridge above the eye socket.	Noun	4.212
637874	-	EYELASH	The body	One of the hairs that grows on the eyelid, around the eyes.	Noun	4.214
1046808	-	EYELID	The body	A skin flap that can be closed over an eye.	Noun	4.213
6410	-	FACE	The body	The front part of the head, featuring the eyes, nose, and mouth and the surrounding area.	Noun	4.204
332125	-	FAECES	The body	Substance that human and animal bodies release from time to time as a little pile of waste remaining from digestion, after it has been collected in the colon.	Noun	-
502976	-	FAIRY	Religion and belief	one of a class of female supernatural beings, generally conceived as having a diminutive human form and possessing magical powers.	Noun	22.44
1176245	-	FAITHFUL	Emotions and values	Steadfast in affection.	Adjective	16.65
5622	-	FALL	Motion	To descend in free fall due to the effect of gravity.	Verb	10.23
1405	-	FAMILY	Kinship	A group comprising parents, offsprings and others closely related or associated with them.	Noun	2.82
1407	-	FAMINE	Food and drink	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.	Noun	5.141
1510960	-	FAN ACTION	Basic actions and technology	To blow air on (something) by means of a fan (hand-held, mechanical or electrical) or otherwise.	Verb	9.791
912239	898076	FAN OBJECT	Basic actions and technology	A device that provides air circulation in a closed environment by rotating an helix, in order to cool down someone or something.	Noun	9.79
5997	-	FAR	Spatial relations	Having a large intervening distance with regard to something.	Adverb	12.44
1410	-	FARM	Agriculture and vegetation	Any tract of land or building used for agricultural purposes, such as for raising crops and livestock.	Noun	-
421671	-	FARMER	Agriculture and vegetation	A person who works the land or who keeps livestock, especially on a farm.	Noun	8.11
515390	-	FART	The body	To emit digestive gases through the anus.	Verb	4.64
6672	1110122	FAST	Time	Occurring or happening within a short time.	Adverb	14.21
475820	-	FASTEN	Basic actions and technology	Tighten and close, for example a belt.	Verb	-
5624	-	FAT	Food and drink	The ester of glycerol and one, two, or three fatty acids.	Noun	5.791
5464	-	FATHER	Kinship	A male parent.	Noun	2.35
454081	-	FATHER-IN-LAW	Kinship	The father of someone's spouse.	Noun	2.61;2.611
936030	-	FATHER'S BROTHER	Kinship	The brother of someone’s father.	Noun	2.512
1372531	-	FATHER'S SISTER	Kinship	The sister of one's father.	Noun	2.522
1153477	-	FATHOM	Spatial relations	A linear unit of measurement, equal to 6 feet, for water depth.	Noun	12.541
503432	-	FATIGUE	The body	A state of physical and/or mental weakness and a lack of vigor.	Noun	-
622752	-	FAUCET	Modern world	A device applied to the end of a pipe in order to interrupt and regulate the flow of a liquid or gas.	Noun	23.5
1280872	868115	FAULT	Emotions and values	Wrong act done deliberately or good act omitted deliberately.	Noun	16.76
6025	-	FEAR, BE AFRAID	Emotions and values	To be scared of; to have an uncontrollable emotion of anxiety about something that causes a scared reaction or frightening impression.	Verb	-
345325	-	FEAR, FRIGHT	Emotions and values	An emotion experienced in anticipation of some specific pain or danger.	Noun	16.53
5436	-	FEATHER	The body	A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift.	Noun	4.393
467089	343166;343171	FEEL	Sense perception	To be in some emotional state.	Verb	15.72
1543589	-	FELL A TREE	Agriculture and vegetation	To knock somebody or cut something down, e.g. a tree.	Verb	-
1510534	-	FELT	Clothing and grooming	A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving.	Noun	6.27
6393	6392	FEMALE	Animals	Of, relating to, or denoting the sex which is generally characterized as the one associated with the larger gametes (for species which have two sexes and for which this distinction can be made).	Adjective	2.24;3.13
698534	-	FENCE	Agriculture and vegetation	Delimitation for an area.	Noun	8.16
1525942	-	FERMENTED DRINK	Food and drink	A fermented drink is a beverage containing alcohol because of a metabolic process that converts sugar to acids, gases and/or alcohol (e.g. beer or wine).	Noun	5.94
1273978	-	FESTIVAL	Political and social relations	Manifestation of collective joy, lasting longer than a few minutes.	Noun	-
6347	-	FEVER	The body	A higher than normal temperature of a person (or generally a mammal).	Noun	4.841
5500	-	FEW	Quantity	More than one, but not as many as usual or as expected.	Function word	13.17
1425	-	FIELD	Agriculture and vegetation	A limited area of land with grass or crops growing on it, which is usually surrounded by fences or closely planted bushes when it is part of a farm.	Noun	8.12
7010	-	FIFTEEN	Quantity	The cardinal number occurring after fourteen and before sixteen, represented in Roman numerals as XV and in Arabic numerals as 15.	Function word	13.103
7019	-	FIFTY	Quantity	The cardinal number occurring after forty-nine and before fifty-one, represented in Roman numerals as L and in Arabic numerals as 50.	Function word	-
1510497	-	FIG	Food and drink	The fruit of the fig tree, pear-shaped and containing many small seeds.	Noun	5.75
6030	-	FIGHT	Warfare and hunting	To be involved in a physical confrontation.	Verb	20.11
962533	-	FILL	Quantity	To make full.	Verb	-
1425624	-	FIN	Animals	An appendage of a fish used for swimming.	Noun	3.652
336790	-	FIND	Possession	To encounter something by accident or after searching for it.	Verb	11.32
1444	541549	FINE	Law	A pecuniary punishment or penalty imposed by lawful tribunal upon person convicted of crime or misdemeanor.	Noun	21.38
5675	-	FINGER	The body	One of the long extremities of the hand that is used for gripping objects.	Noun	4.34
5529	-	FINGERNAIL	The body	The hard, flat, translucent covering near the tip of a human finger, useful for scratching and fine manipulation.	Noun	4.344
7146	-	FINISH	Time	To end something, to bring something to a conclusion.	Verb	14.27
843491	-	FIR	Agriculture and vegetation	An evergreen coniferous tree of the genus Abies.	Noun	8.65
1446	-	FIRE	The physical world	The state of combustion in which inflammable material burns, producing heat, flames and often smoke.	Noun	1.81
1415152	-	FIREFLY	Animals	A nocturnal, bioluminescent beetle of the family Lampyridae.	Noun	3.91
1395201	-	FIREPLACE	The house	An open recess in a wall at the base of a chimney where a fire may be built.	Noun	7.31
1024755	-	FIREWOOD	The physical world	Wood intended to be burned.	Noun	1.88
338524	-	FIRST	Quantity	Having no predecessor. The ordinal number corresponding to one.	Function word	13.34
1460	-	FISH	Animals	A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).	Noun	3.65
1510877	-	FISH POISON	Agriculture and vegetation	in Amazonia, a kind of root is apparently used as fish poison	Noun	8.96
1511114	-	FISH TRAP	Warfare and hunting	A contraption made of wires, rods, fishing-net or other suitable materials with the purpose of catching fish alive.	Noun	20.55
7928	-	FISHERMAN	Warfare and hunting	A person whose profession is catching fish.	Noun	20.51
461552	-	FISHHOOK	Warfare and hunting	A metal hook for catching fish.	Noun	20.52
1048155	-	FISHING LINE	Warfare and hunting	A line intended to fasten hooks in when fishing.	Noun	20.53
358355	-	FISHING SPEAR	Warfare and hunting	A spearlike weapon with a barbed head used in hunting whales and large fish.	Noun	-
1511110	-	FISHNET	Warfare and hunting	A net used to catch fish.	Noun	20.54
615259	-	FIST	The body	he closed hand with the fingers on the palm.	Noun	-
156104	5448	FIVE	Quantity	The fifth natural number (5).	Function word	13.05
376152	-	FLAME	The physical world	A bright yellow, red or bluish light which emerges during combustion processes.	Noun	1.82
6680	-	FLAT	Spatial relations	Having no variations in altitude.	Adjective	12.71
1476	-	FLEA	Animals	Any of the wingless insects composing the order Siphonaptera; most are ectoparasites of mammals and birds. (Source: MGH)	Noun	3.813
414377	-	FLEE	Motion	Leaving a dangerous or unpleasant situation.	Verb	10.51
1539792	-	FLESH	The body	The flesh of humans as opposed to the flesh of animals.	Noun	4.13
6457	6074	FLOAT	Motion	To move or run smoothly and continously as a fluid.	Verb	10.34
6679	154527	FLOOR	The house	The bottom or lower part of any room; the supporting surface of a room.	Noun	7.26
6539	-	FLOUR	Food and drink	Ground or milled grain or cereal.	Noun	5.55
961244	7030	FLOW	Motion	To move as a fluid from one position to another (e.g. of people).	Verb	10.32
1487	-	FLOWER	Agriculture and vegetation	The reproductive structure of angiosperm plants, consisting of stamens and carpels surrounded by petals and sepals all borne on the receptacle.	Noun	8.57
344824	-	FLUTE	Speech and language	A musical instrument of the woodwind family.	Noun	18.71
6261	-	FLY, INSECT	Animals	A common insect; any species of insect of the order Diptera.	Noun	3.83
6052	-	FLY, MOVE THROUGH AIR	Motion	To move autonomously through the air, without any part of the object or object's enclosure touching anything attached to the ground.	Verb	10.37
1478231	-	FLYING FOX	Animals	A squirrel of the sub-family Pteromyinae of the family Sciuridae.	Noun	-
6776	-	FOAL	Animals	A juvenile horse, especially one which is not yet weaned.	Noun	3.45
7153	-	FOAM	The physical world	A mass of adjacent small pockets of air or bubbles with solid or liquid boundaries.	Noun	1.324
1502	-	FOG	The physical world	Water droplets or, rarely, ice crystals suspended in the air in sufficient concentration to reduce visibility appreciably.	Noun	1.74
6146	-	FOLD	Basic actions and technology	To bend a thin material (such as paper) over so that it comes in contact with itself.	Verb	9.15
471020	-	FOLLOW	Motion	To go or come after (in physical space) someone or something.	Verb	10.52
1505	-	FOOD	Food and drink	A substance that can be ingested and utilized by the organism as a source of nutrition and energy.	Noun	5.12
5672	-	FOOT	The body	The part of a human’s body below the ankle that is used in order to stand and walk.	Noun	4.37
1510480	-	FOOTPRINT	The body	The impression of the foot in a soft substance such as sand or snow.	Noun	4.374
1527216	-	FOR A LONG TIME	Time	Great amount of time between two specific events.	Function word	14.332
1157984	-	FORBID	Speech and language	To tell not to do something.	Verb	18.38
1241509	-	FOREHEAD	The body	The part of the face between the hairline and the eyebrows.	Noun	4.205
1533	-	FOREST	The physical world	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.	Noun	1.41
158386	-	FOREFINGER	The body	The finger between thumb and long finger.	Noun	-
1507103	-	FORGE	Basic actions and technology	To create and mold by hammering.	Verb	9.61
6328	-	FORGET	Cognition	To lose memory of something.	Verb	17.32
6336	-	FORGIVE	Emotions and values	To stop blaming someone for an offense.	Verb	16.69
5673	-	FORK	Food and drink	A utensil with spikes used to put solid food into the mouth.	Noun	5.39
1526645	-	FORKED BRANCH	Agriculture and vegetation	At this point a branch is forked into two or more branches.	Noun	8.74
859332	-	FORTRESS	Warfare and hunting	A fortified place; a large and permanent fortification, sometimes including a town.	Noun	20.35
7018	-	FORTY	Quantity	The cardinal number occurring after thirty-nine and before forty-one, represented in Roman numerals as XL and in Arabic numerals as 40.	Function word	-
6253	5447	FOUR	Quantity	The cardinal number occurring after three and before five, represented in Roman numerals as IV, in Arabic numerals as 4.	Function word	13.04
1505737	-	FOWL	Animals	A bird that is kept for its meat and eggs.	Noun	3.5
5726	-	FOX	Animals	A carnivorous relatively small canine of the species Vulpes Vulpes.	Noun	3.74
1511050	-	FRAGRANT	Sense perception	Sweet-smelling; having a pleasant (usually strong) scent or fragrance.	Adjective	15.25
1511095	-	FREEMAN	Social and political relations	A free man, one who is not a serf or slave.	Noun	19.44
6042	-	FREEZE	The physical world	To reach a chemically solid state, by the process of cooling.	Verb	1.775
433736	-	FRESHWATER EEL	Animals	A snaky edible fish, which lives in freshwater and in the sea.	Noun	3.665
6988	-	FRIDAY	Time	The fifth day of the week in Europe and in systems using the ISO 8601 norm; the sixth day of the week in the United States of America.	Noun	14.67
5793	5795	FRIEND	Social and political relations	A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.	Noun	19.51
1504545	-	FRIGHTEN	Sense perception	To make someone afraid or anxious.	Verb	-
1570	-	FROG	Animals	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.	Noun	3.95
334719	-	FROM	Spatial relations	Indicates the source or provenance.	Function word	-
1541236	-	FRONT TOOTH, INEISOR	The body	several teeth located above and below in the mouth of mammals to bite food off.	Noun	-
6280	-	FRUIT	Food and drink	A botanical fruit that can be eaten raw used as food	Noun	5.71
425934	-	FRY	Food and drink	To cook in hot fat.	Verb	5.23
6040	-	FULL	Quantity	Containing the most or maximum amount possible in the given available space.	Adjective	13.21
1590	-	FUR	Clothing and grooming	The hair-covered, dressed pelt of a mammal, used in the making of garments and as trimming or decoration.	Noun	6.28
7346	-	FURROW	Agriculture and vegetation	The cut made in a field by a plough.	Noun	8.212
1543622	-	G-STRING	Clothing and grooming	A thong underwear or swimsuit, a narrow piece of cloth, leather, or plastic, that covers or holds the genitals, passes between the buttocks, and is attached to a band around the hips.	Noun	-
1601	-	GARDEN	Agriculture and vegetation	A piece of land next to a house where flowers and other plants are grown and which often has an area of grass.	Noun	8.13
1525934	-	GARDEN-HOUSE	The house	A small building in a garden, such as a shed, which is not usually build to be inhabitated for long times.	Noun	7.131
1253751	-	GATE	The house	A moveable barrier that can be closed or open to control access to a building, a room, a car, an area, etc.	Noun	7.22
1022541	-	GATHER	Spatial relations	To heap up; to collect or gather (e.g. work, magazines, etc.).	Verb	12.21
1018466	-	GAZELLE	Animals	An antelope of the genus Gazella mostly native to Africa and capable of running at high speeds for long periods.	Noun	-
334733	-	GET	Possession	To get or obtain an item; to come into the possession of something.	Verb	11.16
525317	-	GHOST	Religion and belief	The visible disembodied soul of a dead person.	Noun	22.45
844061	-	GILL	Animals	The breathing organ of fish and other aquatic animals.	Noun	3.654
6752	-	GIRL	Kinship	A young female person, usually a child or teenager.	Noun	2.26
6059	-	GIVE	Possession	To transfer the possession or holding (of an object) to another person.	Verb	11.21
1160012	522528	GIVE BACK	Possession	To transfer a good to the person or people it came from, or to their legal successors.	Verb	11.22
541498	-	GIVE BIRTH	Kinship	To release an offspring from one's own body; to cause to be born.	Verb	-
1656	-	GLASS	Basic actions and technology	A hard, amorphous, inorganic, usually transparent, brittle substance made by fusing silicates, sometimes borates and phosphates, with certain basic oxides and then rapidly cooling to prevent crystallization.	Noun	9.74
369021	-	GLOVE	Clothing and grooming	A garment for a hand, often extending to the wrist and sometimes up to the elbow, which either covers each finger individually, or separates the thumb from the other fingers.	Noun	6.58
46	-	GLUE	Basic actions and technology	Substance used for sticking objects together.	Noun	9.56
334831	-	GO	Motion	To move from a place to another that is further away.	Verb	10.47
980418	-	GO DOWN, DESCEND	Motion	To go from a higher to a lower place.	Verb	10.473
480460	-	GO OUT	Motion	To move out of or depart from.	Verb	10.474
335553	479363	GO UP, ASCEND	Motion	To ascend; to go up.	Verb	10.471
6257	-	GOAT	Animals	A common four-legged animal (Capra) that is related to sheep and bred by humans for its coat and milk.	Noun	3.36
871639	-	GOD	Religion and belief	A supernatural, typically immortal being with superior powers.	Noun	22.12
897615	-	GOITER	The body	Enlargement of the thyroid gland.	Noun	4.842
5912	-	GOLD	Basic actions and technology	A heavy yellow elemental metal of great value, with atomic number 79 and symbol Au.	Noun	9.64
443659	-	GOOD	Emotions and values	Having desired or positive qualities.	Adjective	16.71
336810	-	GOOD LUCK	Emotions and values	Something positive that happens to someone by chance.	Noun	16.18
534216	-	GOOSE	Animals	Waterfowl of the Anatidae family.	Noun	3.56
1526657	-	GOURD	Agriculture and vegetation	It is a versatile plant belonging to multiple types of plants like pumpkins, cucumbers and melons. It is probably one of the earliest domesticated plants.	Noun	8.93
1511088	-	GOVERN	Social and political relations	To make and administer the public policy and affairs of; to exercise sovereign authority in.	Verb	19.31
351462	-	GOVERNMENT	Modern world	A body that has the authority to make and the power to enforce laws within a civil, corporate, religious, academic, or other organization or group.	Noun	23.3
1674	-	GRAIN	Agriculture and vegetation	Edible, starchy seeds of the grass family (Graminae) usable as food by man and his livestock.	Noun	8.42
1167115	-	GRADUALLY	Miscellaneous function words	Making progress, but slowly.	Adverb	-
6624	-	GRANDCHILD	Kinship	A child of someone’s child.	Noun	2.5
6628	-	GRANDDAUGHTER	Kinship	A daughter of someone's child.	Noun	2.49
5953	-	GRANDFATHER	Kinship	The father of one of someone's parents	Noun	2.46
6247	-	GRANDMOTHER	Kinship	The mother of one of someone's parents.	Noun	2.47
1510376	-	GRANDPARENTS	Kinship	The parents of someone's parent.	Noun	2.4711
6627	-	GRANDSON	Kinship	A son of someone's child.	Noun	2.48
393668	-	GRAPE	Food and drink	A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on certain vines.	Noun	5.76
992756	1163227	GRASP	Possession	Get the meaning of something.	Verb	11.14
1675	-	GRASS	Agriculture and vegetation	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.	Noun	8.51
1510547	-	GRASS-SKIRT	Clothing and grooming	A skirt made from long dried grass, or synthetic material resembling it.	Noun	6.461
1677	-	GRASSHOPPER	Animals	A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings.	Noun	3.93
7187	-	GRAVE	The body	A place (commonly marked with a headstone) where one or more people are buried (usually in a coffin underneath the ground).	Noun	4.79
1510501	-	GREASE	Food and drink	Animal fat in a melted or soft state; a semisolid lubricant.	Noun	5.791
983313	983280	GREEDY	Emotions and values	Excessively desirous of money, wealth or possessions.	Adjective	16.83
6032	-	GREEN	Sense perception	Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.	Adjective	15.68
6858	-	GRIEF	Emotions and values	Mental suffering or pain caused by injury, loss, or despair.	Noun	16.32
441895	-	GRIND	Food and drink	To break something into small pieces by pressing it flat, or grinding it to powder.	Verb	5.56
336417	-	GROAN	Emotions and values	a low, guttural sound of frustration	Verb	16.39
161168	-	GROUNDNUTS	Agriculture and vegetation	A nutlike fruit from the plant Arachis hypogaea that grows on long stems under ground.	Noun	-
154737	-	GROW	Spatial relations	(For a living being) To become bigger.	Verb	12.53
518406	-	GRUEL	Food and drink	A hot breakfast cereal dish made from oatmeal, milk and, or water heated and stirred until thick.	Noun	-
1541204	-	GUAN	Animals	a large game bird of the curassow family, common in dense woodlands of Central and South America.	Noun	-
866813	-	GUARD	Warfare and hunting	A person who protects or watches over something.	Noun	20.471
8518	-	GUESS	Cognition	To succeed to know, or discover, by way of surmises.	Verb	17.171
7254	-	GUEST	Social and political relations	A person that visits and stays at a house, usually for one or more nights.	Noun	19.56
692374	-	GUILTY	Law	having committed an offense, crime, violation, or wrong, especially against moral or penal law.	Adjective	21.35
1542693	-	GUINEA FOWL	Animals	Bird of the family Phasianidae native to Africa.	Noun	-
1295456	-	GUMS	The body	The mucosal tissue that partly lies over the teeth in the mouth.	Noun	4.271
6428	-	GUN	Warfare and hunting	A bullet firing weapon.	Noun	20.28
5824	-	GUTS	The body	The internal organs of an animal.	Noun	4.461
479932	-	HACK	Basic actions and technology	To enter a program or other instructions into a computer (or other electronic device) to instruct it to do a particular task.	Verb	-
1707	-	HAIL	The physical world	Precipitation in the form of balls or irregular lumps of ice.	Noun	-
1187180	-	HAILING	The physical world	To fall from the clouds in form of ball or lumps of ice.	Verb	-
446278	-	HAIR	The body	The collection or mass of hair on a person's head except the face.	Noun	4.14
352085	-	HALF	Quantity	One of the two equal parts of a whole.	Noun	13.24
6183	-	HAMMER	Basic actions and technology	A tool with a heavy head and a handle used for pounding.	Noun	9.49
987151	-	HAMMOCK	The house	A swinging couch or bed, usually made of netting or canvas about six feet (1.8 m) wide, suspended by clews or cords at the ends.	Noun	7.66
5616	-	HAND	The body	That part of the fore limb below the forearm or wrist in primates (including humans).	Noun	4.33
436343	-	HANDKERCHIEF	Clothing and grooming	A piece of cloth, usually square and often fine and elegant, carried for wiping the face, nose or hands.	Noun	6.81
1510949	-	HANG UP	Basic actions and technology	To put up to hang	Verb	9.341
